sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
429,6,A,,Exchange Rate Date,xbrli:dateTimeItemType,0..1,,The date on which the exchange rate was applied or became effective for the conversion.,gl-muc,0,Foreign to Local Currency Conversion,MC02c_MC01_06,/CO16a/CO15a/CO14a/CO13a/MC02c/MC02c_MC01_06,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Local Currency Conversion.Exchange Rate Date,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnLoclCurrncyConvrsn.ExchngRatDat,適用されたレートの日付,当該為替レートが適用された日付、または換算に有効となった日付。,gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRateDate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToLocalCurrencyConversion/gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRateDate
430,6,A,,Exchange Rate Description,xbrli:stringItemType,0..1,,An optional comment providing additional context or clarification regarding the exchange rate or conversion process.,gl-muc,0,Foreign to Local Currency Conversion,MC02c_MC01_07,/CO16a/CO15a/CO14a/CO13a/MC02c/MC02c_MC01_07,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Local Currency Conversion.Exchange Rate Description,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnLoclCurrncyConvrsn.ExchngRatDescrptn,説明文,為替レートまたは換算処理に関する補足的な文脈や説明を提供する説明文。,gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRateDesc,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToLocalCurrencyConversion/gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRateDesc
431,5,C,,Triangulation to Local Conversion,,0..*,,,gl-muc,0,Triangulation to Local Conversion,MC03c,/CO16a/CO15a/CO14a/CO13a/MC03c,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Triangulation to Local Conversion,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TringltnLoclConvrsn,,,gl-muc:taxInfoTriangulationToLocalConversion,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoTriangulationToLocalConversion
432,6,A,,Amount,xbrli:monetaryItemType,1,,"The amount after currency conversion, expressed in the target currency.",gl-muc,0,Triangulation to Local Conversion,MC03c_MC01_01,/CO16a/CO15a/CO14a/CO13a/MC03c/MC03c_MC01_01,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Triangulation to Local Conversion.Amount,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TringltnLoclConvrsn.Amnt,換算された金額,通貨換算後の金額。換算先の通貨で表される。,gl-muc:taxInfoTriangulationToLocalConversionAmount,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoTriangulationToLocalConversion/gl-muc:taxInfoTriangulationToLocalConversionAmount
433,6,A,,Currency,xbrli:QNameItemType,1,,"The currency in which the converted amount is expressed, identified using the ISO 4217 currency code.",gl-muc,0,Triangulation to Local Conversion,MC03c_MC01_02,/CO16a/CO15a/CO14a/CO13a/MC03c/MC03c_MC01_02,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Triangulation to Local Conversion.Currency,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TringltnLoclConvrsn.Currncy,金額の通貨,換算された金額が表される通貨。ISO 4217通貨コードで識別される。,gl-muc:taxInfoTriangulationToLocalConversionCurrency,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoTriangulationToLocalConversion/gl-muc:taxInfoTriangulationToLocalConversionCurrency
434,6,A,,Exchange Rate,xbrli:pureItemType,0..1,,"The exchange rate used for conversion, expressed as the amount of local (or functional) currency per unit of the target currency.",gl-muc,0,Triangulation to Local Conversion,MC03c_MC01_03,/CO16a/CO15a/CO14a/CO13a/MC03c/MC03c_MC01_03,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Triangulation to Local Conversion.Exchange Rate,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TringltnLoclConvrsn.ExchngRat,換算レート,換算に使用された為替レート。換算対象通貨1単位あたりの自国通貨（または機能通貨）で表される。,gl-muc:taxInfoTriangulationToLocalConversionExchangeRate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoTriangulationToLocalConversion/gl-muc:taxInfoTriangulationToLocalConversionExchangeRate
435,6,A,,Exchange Rate Source,xbrli:stringItemType,0..1,,"The source from which the exchange rate was obtained, such as a financial information provider (e.g., Reuters, Bloomberg).",gl-muc,0,Triangulation to Local Conversion,MC03c_MC01_04,/CO16a/CO15a/CO14a/CO13a/MC03c/MC03c_MC01_04,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Triangulation to Local Conversion.Exchange Rate Source,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TringltnLoclConvrsn.ExchngRatSorc,為替レートの出典,為替レートの取得元。ReutersやBloombergなどの金融情報提供機関を含む。,gl-muc:taxInfoTriangulationToLocalConversionExchangeRateSource,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoTriangulationToLocalConversion/gl-muc:taxInfoTriangulationToLocalConversionExchangeRateSource
436,6,A,,Exchange Rate Type,xbrli:stringItemType,0..1,,"The type of exchange rate used, such as spot rate, forward rate, or other applicable rate classifications.",gl-muc,0,Triangulation to Local Conversion,MC03c_MC01_05,/CO16a/CO15a/CO14a/CO13a/MC03c/MC03c_MC01_05,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Triangulation to Local Conversion.Exchange Rate Type,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TringltnLoclConvrsn.ExchngRatType,為替レートの種類,使用された為替レートの種類。スポットレートやフォワードレートなどの区分を含む。,gl-muc:taxInfoTriangulationToLocalConversionExchangeRateType,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoTriangulationToLocalConversion/gl-muc:taxInfoTriangulationToLocalConversionExchangeRateType
437,6,A,,Exchange Rate Date,xbrli:dateTimeItemType,0..1,,The date on which the exchange rate was applied or became effective for the conversion.,gl-muc,0,Triangulation to Local Conversion,MC03c_MC01_06,/CO16a/CO15a/CO14a/CO13a/MC03c/MC03c_MC01_06,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Triangulation to Local Conversion.Exchange Rate Date,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TringltnLoclConvrsn.ExchngRatDat,適用されたレートの日付,当該為替レートが適用された日付、または換算に有効となった日付。,gl-muc:taxInfoTriangulationToLocalConversionExchangeRateDate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoTriangulationToLocalConversion/gl-muc:taxInfoTriangulationToLocalConversionExchangeRateDate
438,6,A,,Exchange Rate Description,xbrli:stringItemType,0..1,,An optional comment providing additional context or clarification regarding the exchange rate or conversion process.,gl-muc,0,Triangulation to Local Conversion,MC03c_MC01_07,/CO16a/CO15a/CO14a/CO13a/MC03c/MC03c_MC01_07,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Triangulation to Local Conversion.Exchange Rate Description,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TringltnLoclConvrsn.ExchngRatDescrptn,説明文,為替レートまたは換算処理に関する補足的な文脈や説明を提供する説明文。,gl-muc:taxInfoTriangulationToLocalConversionExchangeRateDesc,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoTriangulationToLocalConversion/gl-muc:taxInfoTriangulationToLocalConversionExchangeRateDesc
439,5,C,,Foreign to Triangulation Conversion,,0..*,,,gl-muc,0,Foreign to Triangulation Conversion,MC04c,/CO16a/CO15a/CO14a/CO13a/MC04c,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Triangulation Conversion,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnTringltnConvrsn,,,gl-muc:taxInfoForeignToTriangulationConversion,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToTriangulationConversion
440,6,A,,Amount,xbrli:monetaryItemType,1,,"The amount after currency conversion, expressed in the target currency.",gl-muc,0,Foreign to Triangulation Conversion,MC04c_MC01_01,/CO16a/CO15a/CO14a/CO13a/MC04c/MC04c_MC01_01,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Triangulation Conversion.Amount,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnTringltnConvrsn.Amnt,換算された金額,通貨換算後の金額。換算先の通貨で表される。,gl-muc:taxInfoForeignToTriangulationConversionAmount,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToTriangulationConversion/gl-muc:taxInfoForeignToTriangulationConversionAmount
441,6,A,,Currency,xbrli:QNameItemType,1,,"The currency in which the converted amount is expressed, identified using the ISO 4217 currency code.",gl-muc,0,Foreign to Triangulation Conversion,MC04c_MC01_02,/CO16a/CO15a/CO14a/CO13a/MC04c/MC04c_MC01_02,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Triangulation Conversion.Currency,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnTringltnConvrsn.Currncy,金額の通貨,換算された金額が表される通貨。ISO 4217通貨コードで識別される。,gl-muc:taxInfoForeignToTriangulationConversionCurrency,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToTriangulationConversion/gl-muc:taxInfoForeignToTriangulationConversionCurrency
442,6,A,,Exchange Rate,xbrli:pureItemType,0..1,,"The exchange rate used for conversion, expressed as the amount of local (or functional) currency per unit of the target currency.",gl-muc,0,Foreign to Triangulation Conversion,MC04c_MC01_03,/CO16a/CO15a/CO14a/CO13a/MC04c/MC04c_MC01_03,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Triangulation Conversion.Exchange Rate,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnTringltnConvrsn.ExchngRat,換算レート,換算に使用された為替レート。換算対象通貨1単位あたりの自国通貨（または機能通貨）で表される。,gl-muc:taxInfoForeignToTriangulationConversionExchangeRate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToTriangulationConversion/gl-muc:taxInfoForeignToTriangulationConversionExchangeRate
443,6,A,,Exchange Rate Source,xbrli:stringItemType,0..1,,"The source from which the exchange rate was obtained, such as a financial information provider (e.g., Reuters, Bloomberg).",gl-muc,0,Foreign to Triangulation Conversion,MC04c_MC01_04,/CO16a/CO15a/CO14a/CO13a/MC04c/MC04c_MC01_04,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Triangulation Conversion.Exchange Rate Source,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnTringltnConvrsn.ExchngRatSorc,為替レートの出典,為替レートの取得元。ReutersやBloombergなどの金融情報提供機関を含む。,gl-muc:taxInfoForeignToTriangulationConversionExchangeRateSource,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToTriangulationConversion/gl-muc:taxInfoForeignToTriangulationConversionExchangeRateSource
444,6,A,,Exchange Rate Type,xbrli:stringItemType,0..1,,"The type of exchange rate used, such as spot rate, forward rate, or other applicable rate classifications.",gl-muc,0,Foreign to Triangulation Conversion,MC04c_MC01_05,/CO16a/CO15a/CO14a/CO13a/MC04c/MC04c_MC01_05,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Triangulation Conversion.Exchange Rate Type,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnTringltnConvrsn.ExchngRatType,為替レートの種類,使用された為替レートの種類。スポットレートやフォワードレートなどの区分を含む。,gl-muc:taxInfoForeignToTriangulationConversionExchangeRateType,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToTriangulationConversion/gl-muc:taxInfoForeignToTriangulationConversionExchangeRateType
