sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
89,5,A,,Description,xbrli:stringItemType,0..1,,Address Description,gl-bus,0,Address,BU06b_02,/CO16a/BU12a/BU06b/BU06b_02,$.Accounting Entries.Entitry Information.Accountant.Address.Description,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.Descrptn,住所説明,住所の説明。,gl-bus:accountantAddressDesc,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressDesc
90,5,A,,Purpose,xbrli:stringItemType,0..1,,Address Purpose,gl-bus,0,Address,BU06b_03,/CO16a/BU12a/BU06b/BU06b_03,$.Accounting Entries.Entitry Information.Accountant.Address.Purpose,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.Purps,住所目的,住所の目的。,gl-bus:accountantAddressPurpose,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressPurpose
91,5,A,,Location Identifier,xbrli:stringItemType,0..1,,A code used to identify the location and to associate it with contacts and transactions,gl-bus,0,Address,BU06b_04,/CO16a/BU12a/BU06b/BU06b_04,$.Accounting Entries.Entitry Information.Accountant.Address.Location Identifier,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.LoctnIdntfr,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,gl-bus:accountantAddressLocationID,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressLocationID
92,5,A,,Building Number,xbrli:stringItemType,0..1,,Building Number,gl-bus,0,Address,BU06b_05,/CO16a/BU12a/BU06b/BU06b_05,$.Accounting Entries.Entitry Information.Accountant.Address.Building Number,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.BuldngNumbr,住所建物番号,建物番号。,gl-bus:accountantAddressBuildingNum,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressBuildingNum
93,5,A,,Street,xbrli:stringItemType,0..1,,Street address,gl-bus,0,Address,BU06b_06,/CO16a/BU12a/BU06b/BU06b_06,$.Accounting Entries.Entitry Information.Accountant.Address.Street,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.Stret,住所通り,住所の通り。,gl-bus:accountantAddressStreet,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressStreet
94,5,A,,Street2,xbrli:stringItemType,0..1,,Address Detail,gl-bus,0,Address,BU06b_07,/CO16a/BU12a/BU06b/BU06b_07,$.Accounting Entries.Entitry Information.Accountant.Address.Street2,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.Stret2,住所詳細,住所詳細。,gl-bus:accountantAddressStreet2,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressStreet2
95,5,A,,City,xbrli:stringItemType,0..1,,City,gl-bus,0,Address,BU06b_08,/CO16a/BU12a/BU06b/BU06b_08,$.Accounting Entries.Entitry Information.Accountant.Address.City,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.City,住所都市,住所の都市。,gl-bus:accountantAddressCity,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressCity
96,5,A,,State or Province,xbrli:stringItemType,0..1,,"State, province or region",gl-bus,0,Address,BU06b_09,/CO16a/BU12a/BU06b/BU06b_09,$.Accounting Entries.Entitry Information.Accountant.Address.State or Province,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.StatOrProvnc,住所州,住所の州や地方。,gl-bus:accountantAddressStateOrProvince,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressStateOrProvince
97,5,A,,Country,xbrli:stringItemType,0..1,,Country,gl-bus,0,Address,BU06b_10,/CO16a/BU12a/BU06b/BU06b_10,$.Accounting Entries.Entitry Information.Accountant.Address.Country,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.Contry,住所国,住所の国。,gl-bus:accountantAddressCountry,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressCountry
98,5,A,,Zip or Postal Code,xbrli:stringItemType,0..1,,Zip or other postal code,gl-bus,0,Address,BU06b_11,/CO16a/BU12a/BU06b/BU06b_11,$.Accounting Entries.Entitry Information.Accountant.Address.Zip or Postal Code,AccntgEntrs.EnttryInfrmn.Accntt.Addrss.ZipOrPostlCod,住所郵便番号,住所の郵便番号。,gl-bus:accountantAddressZipOrPostalCode,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantAddress/gl-bus:accountantAddressZipOrPostalCode
99,4,C,,Contact,,0..*,,Information about contacts.,gl-bus,0,Contact,BU09b,/CO16a/BU12a/BU09b,$.Accounting Entries.Entitry Information.Accountant.Contact,AccntgEntrs.EnttryInfrmn.Accntt.Contct,【担当者情報】,担当者に関する情報。,gl-bus:accountantContact,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact
100,5,A,PK,ID,xbrli:tokenItemType,1,,A unique and persistent identifier used to distinguish a person within the system.,gl-bus,0,Contact,BU09b_BU08_01,/CO16a/BU12a/BU09b/BU09b_BU08_01,$.Accounting Entries.Entitry Information.Accountant.Contact.ID,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Id,識別番号,システム内で個人を識別するための一意かつ永続的な識別子。,gl-bus:accountantContactId,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactId
101,5,A,,Prefix,xbrli:stringItemType,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",gl-bus,0,Contact,BU09b_BU08_02,/CO16a/BU12a/BU09b/BU09b_BU08_02,$.Accounting Entries.Entitry Information.Accountant.Contact.Prefix,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Prefx,敬称,敬称(Dr.、Mr.、Mrs.など),gl-bus:accountantContactPrefix,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactPrefix
102,5,A,,Last Name,xbrli:stringItemType,0..1,,Last or family name,gl-bus,0,Contact,BU09b_BU08_03,/CO16a/BU12a/BU09b/BU09b_BU08_03,$.Accounting Entries.Entitry Information.Accountant.Contact.Last Name,AccntgEntrs.EnttryInfrmn.Accntt.Contct.LastNam,姓,姓,gl-bus:accountantContactLastName,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactLastName
103,5,A,,First Name,xbrli:stringItemType,0..1,,First or given name,gl-bus,0,Contact,BU09b_BU08_04,/CO16a/BU12a/BU09b/BU09b_BU08_04,$.Accounting Entries.Entitry Information.Accountant.Contact.First Name,AccntgEntrs.EnttryInfrmn.Accntt.Contct.FirstNam,名,名、クリスチャンネーム,gl-bus:accountantContactFirstName,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactFirstName
104,5,A,,Suffix,xbrli:stringItemType,0..1,,"Suffix (e.g. MD, CPA, Jr.)",gl-bus,0,Contact,BU09b_BU08_05,/CO16a/BU12a/BU09b/BU09b_BU08_05,$.Accounting Entries.Entitry Information.Accountant.Contact.Suffix,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Suffx,付加名称,付加名称(MD、CPA、Jr.など),gl-bus:accountantContactSuffix,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactSuffix
105,5,A,,Attention Line,xbrli:stringItemType,0..1,,Attention Line,gl-bus,0,Contact,BU09b_BU08_06,/CO16a/BU12a/BU09b/BU09b_BU08_06,$.Accounting Entries.Entitry Information.Accountant.Contact.Attention Line,AccntgEntrs.EnttryInfrmn.Accntt.Contct.AttntnLin,アテンションライン,アテンションライン,gl-bus:accountantContactAttentionLine,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactAttentionLine
106,5,A,,Position Role,xbrli:stringItemType,0..1,,Position or role,gl-bus,0,Contact,BU09b_BU08_07,/CO16a/BU12a/BU09b/BU09b_BU08_07,$.Accounting Entries.Entitry Information.Accountant.Contact.Position Role,AccntgEntrs.EnttryInfrmn.Accntt.Contct.PostnRol,地位/役職,地位や役職。,gl-bus:accountantContactPositionRole,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactPositionRole
107,5,A,,Role of Contact,xbrli:stringItemType,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",gl-bus,0,Contact,BU09b_BU08_08,/CO16a/BU12a/BU09b/BU09b_BU08_08,$.Accounting Entries.Entitry Information.Accountant.Contact.Role of Contact,AccntgEntrs.EnttryInfrmn.Accntt.Contct.RolContct,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,gl-bus:accountantContactRoleOfContact,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactRoleOfContact
108,5,A,,Location ID cross reference,xbrli:stringItemType,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,gl-bus,0,Contact,BU09b_BU08_09,/CO16a/BU12a/BU09b/BU09b_BU08_09,$.Accounting Entries.Entitry Information.Accountant.Contact.Location ID cross reference,AccntgEntrs.EnttryInfrmn.Accntt.Contct.LoctnIdCrossRefrnc,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,gl-bus:accountantContactLocationIdCrossReference,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactLocationIdCrossReference
109,5,C,,Phone,,0..*,,Phone number information.,gl-bus,0,Phone,BU01c,/CO16a/BU12a/BU09b/BU01c,$.Accounting Entries.Entitry Information.Accountant.Contact.Phone,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Phon,【電話番号】,主要電話番号情報。,gl-bus:accountantContactPhone,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactPhone
110,6,A,,Description,xbrli:tokenItemType,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",gl-bus,0,Phone,BU01c_01,/CO16a/BU12a/BU09b/BU01c/BU01c_01,$.Accounting Entries.Entitry Information.Accountant.Contact.Phone.Description,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Phon.Descrptn,電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",gl-bus:accountantContactPhoneDesc,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactPhone/gl-bus:accountantContactPhoneDesc
111,6,A,,Number,xbrli:stringItemType,0..1,,Phone number referred to in Phone Number Description'\.,gl-bus,0,Phone,BU01c_02,/CO16a/BU12a/BU09b/BU01c/BU01c_02,$.Accounting Entries.Entitry Information.Accountant.Contact.Phone.Number,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Phon.Numbr,電話番号,電話番号用途で示される電話番号。,gl-bus:accountantContactPhoneNum,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactPhone/gl-bus:accountantContactPhoneNum
112,5,C,,Fax,,0..*,,Fax number information.,gl-bus,0,Fax,BU02c,/CO16a/BU12a/BU09b/BU02c,$.Accounting Entries.Entitry Information.Accountant.Contact.Fax,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Fax,【FAX番号】,FAX番号情報。,gl-bus:accountantContactFax,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactFax
113,6,A,,Usage,xbrli:stringItemType,0..1,,"Fax number usage (e.g. orders, head office, IR)",gl-bus,0,Fax,BU02c_01,/CO16a/BU12a/BU09b/BU02c/BU02c_01,$.Accounting Entries.Entitry Information.Accountant.Contact.Fax.Usage,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Fax.Usg,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),gl-bus:accountantContactFaxUsage,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactFax/gl-bus:accountantContactFaxUsage
114,6,A,,Number,xbrli:stringItemType,0..1,,Fax Number,gl-bus,0,Fax,BU02c_02,/CO16a/BU12a/BU09b/BU02c/BU02c_02,$.Accounting Entries.Entitry Information.Accountant.Contact.Fax.Number,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Fax.Numbr,FAX番号,FAX番号。,gl-bus:accountantContactFaxNum,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactFax/gl-bus:accountantContactFaxNum
115,5,C,,Email,,0..*,,Email address information.,gl-bus,0,Email,BU04c,/CO16a/BU12a/BU09b/BU04c,$.Accounting Entries.Entitry Information.Accountant.Contact.Email,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Eml,【Eメールアドレス】,Eメールアドレス情報。,gl-bus:accountantContactEmail,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactEmail
116,6,A,,Descrption,xbrli:stringItemType,0..1,,"URI address usage (e.g. orders, head office, IR)",gl-bus,0,Email,BU04c_BU03_01,/CO16a/BU12a/BU09b/BU04c/BU04c_BU03_01,$.Accounting Entries.Entitry Information.Accountant.Contact.Email.Descrption,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Eml.Descrptn,URIアドレス用途,URIアドレスの用途。(注文、本社、IRなど),gl-bus:accountantContactEmailDescrption,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactEmail/gl-bus:accountantContactEmailDescrption
117,6,A,,Address,xbrli:stringItemType,0..1,,URI Address,gl-bus,0,Email,BU04c_BU03_02,/CO16a/BU12a/BU09b/BU04c/BU04c_BU03_02,$.Accounting Entries.Entitry Information.Accountant.Contact.Email.Address,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Eml.Addrss,URIアドレス,URIアドレス。,gl-bus:accountantContactEmailAddress,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactEmail/gl-bus:accountantContactEmailAddress
118,3,C,,Reporting Calendar,,0..*,,A tool to collect the periods used to summarise results from transactions.,gl-bus,0,Reporting Calendar,BU14a,/CO16a/BU14a,$.Accounting Entries.Entitry Information.Reporting Calendar,AccntgEntrs.EnttryInfrmn.ReprtngCalndr,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,gl-bus:reportingCalendar,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar
119,4,A,PK,Code,xbrli:stringItemType,0..1,,"The code used to identify this specific reporting calendar, unique across periods",gl-bus,0,Reporting Calendar,BU14a_01,/CO16a/BU14a/BU14a_01,$.Accounting Entries.Entitry Information.Reporting Calendar.Code,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.Cod,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,gl-bus:reportingCalendarCode,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarCode
120,4,A,,Description,xbrli:stringItemType,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),gl-bus,0,Reporting Calendar,BU14a_02,/CO16a/BU14a/BU14a_02,$.Accounting Entries.Entitry Information.Reporting Calendar.Description,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.Descrptn,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,gl-bus:reportingCalendarDesc,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarDesc
121,4,A,,Title,xbrli:stringItemType,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' structure,gl-bus,0,Reporting Calendar,BU14a_03,/CO16a/BU14a/BU14a_03,$.Accounting Entries.Entitry Information.Reporting Calendar.Title,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.Titl,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,gl-bus:reportingCalendarTitle,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarTitle
122,4,A,,Type of Period Code,xbrli:tokenItemType,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",gl-bus,0,Reporting Calendar,BU14a_04,/CO16a/BU14a/BU14a_04,$.Accounting Entries.Entitry Information.Reporting Calendar.Type of Period Code,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.TypePerdCod,期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他
[設定値のリスト]
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",gl-bus:reportingCalendarTypeOfPeriodCode,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarTypeOfPeriodCode
123,4,A,,Description of periods,xbrli:stringItemType,0..1,,A description of the type of period involved.,gl-bus,0,Reporting Calendar,BU14a_05,/CO16a/BU14a/BU14a_05,$.Accounting Entries.Entitry Information.Reporting Calendar.Description of periods,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.DescrptnPerds,期間種別説明,報告期間の種別の説明。,gl-bus:reportingCalendarDescOfPeriods,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarDescOfPeriods
124,4,A,,Closed status,xbrli:tokenItemType,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",gl-bus,0,Reporting Calendar,BU14a_06,/CO16a/BU14a/BU14a_06,$.Accounting Entries.Entitry Information.Reporting Calendar.Closed status,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ClosdStats,締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中
[設定値のリスト]
(open：オープン)、(closed：締切り済み)、(pending：保留中)",gl-bus:reportingCalendarClosedStatus,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarClosedStatus
125,4,A,,Purpose,xbrli:tokenItemType,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,gl-bus,0,Reporting Calendar,BU14a_07,/CO16a/BU14a/BU14a_07,$.Accounting Entries.Entitry Information.Reporting Calendar.Purpose,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.Purps,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",gl-bus:reportingCalendarPurpose,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarPurpose
126,4,A,,Purpose Description,xbrli:stringItemType,0..1,,Free format description of the reporting purpose,gl-bus,0,Reporting Calendar,BU14a_08,/CO16a/BU14a/BU14a_08,$.Accounting Entries.Entitry Information.Reporting Calendar.Purpose Description,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.PurpsDescrptn,報告目的説明,報告目的の説明。,gl-bus:reportingCalendarPurposeDesc,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarPurposeDesc
127,4,C,,Reporting Calendar Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,gl-bus,0,Reporting Calendar Period,BU13a,/CO16a/BU14a/BU13a,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,gl-bus:reportingCalendarPeriod,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod
128,5,A,PK,Reporting Identifier,xbrli:stringItemType,0..1,,An identifier for this period in this calendar,gl-bus,0,Reporting Calendar Period,BU13a_01,/CO16a/BU14a/BU13a/BU13a_01,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.Reporting Identifier,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.ReprtngIdntfr,報告期間識別子,このカレンダーにおけるこの期間の識別子。,gl-bus:reportingCalendarPeriodReportingID,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodReportingID
129,5,A,,Description,xbrli:stringItemType,0..1,,A description of this specific reporting period in this calendar.,gl-bus,0,Reporting Calendar Period,BU13a_02,/CO16a/BU14a/BU13a/BU13a_02,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.Description,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.Descrptn,期間説明,このカレンダーにおけるこの特定の期間の説明。,gl-bus:reportingCalendarPeriodDesc,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodDesc
130,5,A,,Start Date,xbrli:dateTimeItemType,0..1,,The beginning date/time of a period,gl-bus,0,Reporting Calendar Period,BU13a_03,/CO16a/BU14a/BU13a/BU13a_03,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.Start Date,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.StartDat,期間開始日付,期間の開始日付/時刻,gl-bus:reportingCalendarPeriodStartDate,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodStartDate
131,5,A,,End Date,xbrli:dateTimeItemType,0..1,,The ending date/time of a period,gl-bus,0,Reporting Calendar Period,BU13a_04,/CO16a/BU14a/BU13a/BU13a_04,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.End Date,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.EndDat,期間終了日付,期間の終了日付/時刻,gl-bus:reportingCalendarPeriodEndDate,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodEndDate
132,5,A,,Closed Date,xbrli:dateTimeItemType,0..1,,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",gl-bus,0,Reporting Calendar Period,BU13a_05,/CO16a/BU14a/BU13a/BU13a_05,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.Closed Date,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.ClosdDat,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",gl-bus:reportingCalendarPeriodClosedDate,/gl-cor:accountingEntries/gl-cor:entitryInfo/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodClosedDate
133,2,C,,Entry Header,,0..*,,Parent for entry headers/journal entry headers.,gl-cor,0,Entry Header,CO15a,/CO16a/CO15a,$.Accounting Entries.Entry Header,AccntgEntrs.EntryHedr,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,gl-cor:entryHeader,/gl-cor:accountingEntries/gl-cor:entryHeader
134,3,A,PK,Entry Identifier,xbrli:stringItemType,0..1,,Identifier within source journal,gl-cor,0,Entry Header,CO15a_01,/CO16a/CO15a/CO15a_01,$.Accounting Entries.Entry Header.Entry Identifier,AccntgEntrs.EntryHedr.EntryIdntfr,仕訳識別子,元仕訳帳中の識別子。,gl-cor:entryID,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryID
135,3,A,,Date Posted,xbrli:dateTimeItemType,0..1,,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,gl-cor,0,Entry Header,CO15a_02,/CO16a/CO15a/CO15a_02,$.Accounting Entries.Entry Header.Date Posted,AccntgEntrs.EntryHedr.DatPostd,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,gl-cor:datePosted,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:datePosted
136,3,A,,Source Journal,xbrli:tokenItemType,0..1,,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",gl-cor,0,Entry Header,CO15a_03,/CO16a/CO15a/CO15a_03,$.Accounting Entries.Entry Header.Source Journal,AccntgEntrs.EntryHedr.SorcJornl,元仕訳帳種別,"元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。
出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他
[設定値のリスト]
(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他)",gl-cor:sourceJournal,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:sourceJournal
137,3,A,,Journal Description,xbrli:stringItemType,0..1,,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",gl-cor,0,Entry Header,CO15a_BU15_04,/CO16a/CO15a/CO15a_BU15_04,$.Accounting Entries.Entry Header.Journal Description,AccntgEntrs.EntryHedr.JornlDescrptn,元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計事務所入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,gl-cor:journalDesc,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:journalDesc
